Date,Open,High,Low,Close,Adj Close,Volume
8/12/2014,24.01,24.219999,23.9025,23.9925,21.729143,135180000
8/13/2014,24.0375,24.309999,24.01,24.309999,22.016689,127664000
8/14/2014,24.3325,24.3925,24.200001,24.375,22.07556,112464000
8/15/2014,24.475,24.547501,24.215,24.495001,22.18424,195804000
8/18/2014,24.622499,24.842501,24.495001,24.790001,22.451408,190288000
8/19/2014,24.852501,25.17,24.83,25.1325,22.761599,277596000
8/20/2014,25.110001,25.272499,24.987499,25.1425,22.77066,210796000
8/21/2014,25.1425,25.235001,25.0275,25.145,22.772919,133912000
8/22/2014,25.0725,25.3675,25.047501,25.33,22.94047,176736000
8/25/2014,25.4475,25.5425,25.32,25.385,22.990286,161080000
8/26/2014,25.355,25.375,25.215,25.2225,22.843107,132608000
8/27/2014,25.254999,25.6425,25.174999,25.532499,23.123867,209476000
8/28/2014,25.397499,25.695,25.389999,25.5625,23.151037,273840000
8/29/2014,25.715,25.725,25.549999,25.625,23.207644,178380000
9/2/2014,25.764999,25.934999,25.68,25.825001,23.388773,214256000
9/3/2014,25.775,25.799999,24.645,24.735001,22.401598,501684000
9/4/2014,24.7125,25.022499,24.4475,24.530001,22.21594,342872000
9/5/2014,24.700001,24.8475,24.577499,24.7425,22.40839,233828000
9/8/2014,24.825001,24.827499,24.512501,24.59,22.270275,185426800
9/9/2014,24.77,25.77,24.035,24.497499,22.186506,759385200
9/10/2014,24.502501,25.2775,24.440001,25.25,22.868017,403478400
9/11/2014,25.102501,25.360001,24.905001,25.3575,22.965376,249412400
9/12/2014,25.3025,25.547501,25.27,25.415001,23.017456,250504400
9/15/2014,25.702499,25.762501,25.360001,25.407499,23.010656,245266000
9/16/2014,24.950001,25.315001,24.7225,25.215,22.836317,267632400
9/17/2014,25.317499,25.450001,25.147499,25.395,22.999332,243706000
9/18/2014,25.4825,25.5875,25.389999,25.4475,23.046888,149197600
9/19/2014,25.5725,25.5875,25.125,25.24,22.858961,283609600
9/22/2014,25.450001,25.535,25.145,25.264999,22.881599,211153600
9/23/2014,25.15,25.735001,25.135,25.66,23.239338,253608800
9/24/2014,25.540001,25.7125,25.299999,25.4375,23.03783,240687200
9/25/2014,25.127501,25.1775,24.43,24.467501,22.15934,400368000
9/26/2014,24.6325,25.1875,24.6,25.1875,22.811411,249482000
9/29/2014,24.6625,25.110001,24.657499,25.0275,22.666502,199065200
9/30/2014,25.202499,25.385,25.1325,25.1875,22.811411,221056400
10/1/2014,25.147499,25.172501,24.674999,24.795,22.45594,205965200
10/2/2014,24.817499,25.055,24.51,24.975,22.618959,191031200
10/3/2014,24.860001,25.0525,24.76,24.905001,22.555559,173878400
10/6/2014,24.987499,25.1625,24.855,24.905001,22.555559,148204800
10/7/2014,24.8575,25.030001,24.682501,24.6875,22.35858,168376800
